ID_employee,Пол,Возраст,Стаж,Должность,Зарплата
134,муж,47,58,главный научный сотрудник,130000
135,жен,45,70,научный сотрудник,90000
136,муж,35,38,младший научный сотрудник,100000
137,жен,64,63,научный сотрудник,160000
138,жен,65,14,стажёр-исследователь,50000
139,муж,34,9,младший научный сотрудник,50000
140,муж,43,47,старший научный сотрудник,20000
141,жен,58,51,главный научный сотрудник,140000
142,муж,65,31,стажёр-исследователь,50000
143,муж,78,18,младший научный сотрудник,60000
144,муж,69,26,старший научный сотрудник,150000
145,жен,71,70,главный научный сотрудник,190000
146,жен,55,20,стажёр-исследователь,20000
147,жен,45,12,младший научный сотрудник,30000
148,муж,62,43,ведущий научный сотрудник,20000
149,муж,54,43,научный сотрудник,180000
150,жен,35,41,главный научный сотрудник,80000
151,муж,36,45,старший научный сотрудник,130000
152,муж,55,61,ведущий научный сотрудник,60000
153,жен,59,20,младший научный сотрудник,80000
154,жен,69,2,научный сотрудник,130000
155,муж,41,0,младший научный сотрудник,70000
156,жен,70,64,стажёр-исследователь,190000
157,жен,74,33,старший научный сотрудник,110000
158,муж,31,60,младший научный сотрудник,80000
159,жен,30,10,стажёр-исследователь,170000
160,жен,60,10,главный научный сотрудник,100000
161,жен,40,20,младший научный сотрудник,90000
162,жен,40,4,младший научный сотрудник,20000
163,жен,37,26,стажёр-исследователь,150000
164,жен,72,26,стажёр-исследователь,120000
165,муж,37,35,стажёр-исследователь,160000
166,жен,52,54,стажёр-исследователь,160000
167,муж,23,3,ведущий научный сотрудник,60000
168,муж,24,14,стажёр-исследователь,80000
169,муж,70,55,старший научный сотрудник,180000
170,муж,47,64,ведущий научный сотрудник,70000
171,жен,75,42,научный сотрудник,60000
172,муж,21,66,старший научный сотрудник,80000
173,жен,53,33,главный научный сотрудник,30000
174,жен,82,55,главный научный сотрудник,180000
175,жен,68,45,младший научный сотрудник,50000
176,муж,42,35,старший научный сотрудник,20000
177,муж,87,43,стажёр-исследователь,90000
178,муж,23,20,младший научный сотрудник,60000
179,жен,82,53,научный сотрудник,110000
180,жен,84,42,главный научный сотрудник,90000
181,жен,66,56,главный научный сотрудник,20000
182,муж,35,66,старший научный сотрудник,100000
183,жен,50,67,научный сотрудник,120000
184,жен,71,48,главный научный сотрудник,90000
185,муж,67,0,научный сотрудник,100000
186,муж,69,0,ведущий научный сотрудник,80000
187,муж,80,52,младший научный сотрудник,60000
188,муж,54,10,ведущий научный сотрудник,180000
189,муж,75,0,научный сотрудник,50000
190,муж,68,69,младший научный сотрудник,80000
191,муж,28,20,научный сотрудник,140000
192,жен,38,20,младший научный сотрудник,160000
193,жен,88,54,младший научный сотрудник,130000
194,муж,56,18,младший научный сотрудник,30000
195,муж,80,51,стажёр-исследователь,100000
196,жен,55,5,старший научный сотрудник,30000
197,жен,61,11,ведущий научный сотрудник,160000
198,жен,63,4,стажёр-исследователь,20000
199,муж,38,27,младший научный сотрудник,60000
200,жен,57,38,научный сотрудник,110000
201,муж,75,52,ведущий научный сотрудник,150000
202,муж,39,70,старший научный сотрудник,150000
203,муж,60,11,старший научный сотрудник,170000
204,муж,65,19,старший научный сотрудник,30000
205,муж,41,48,главный научный сотрудник,160000
206,муж,87,59,младший научный сотрудник,150000
207,муж,52,60,ведущий научный сотрудник,150000
208,жен,80,12,главный научный сотрудник,30000
209,муж,80,68,младший научный сотрудник,60000
210,муж,74,19,старший научный сотрудник,120000
211,муж,87,45,младший научный сотрудник,70000
212,муж,30,13,старший научный сотрудник,150000
213,муж,72,16,главный научный сотрудник,150000
214,муж,72,25,младший научный сотрудник,110000
215,муж,58,14,младший научный сотрудник,180000
216,жен,62,24,главный научный сотрудник,140000
217,жен,44,37,главный научный сотрудник,170000
218,жен,37,39,ведущий научный сотрудник,150000
219,муж,71,18,главный научный сотрудник,30000
220,муж,25,47,научный сотрудник,190000
221,жен,25,28,младший научный сотрудник,70000
222,жен,27,65,стажёр-исследователь,70000
223,жен,68,23,ведущий научный сотрудник,180000
224,жен,31,46,младший научный сотрудник,30000
225,жен,21,59,старший научный сотрудник,190000
226,жен,40,45,младший научный сотрудник,30000
227,жен,21,22,главный научный сотрудник,50000
228,муж,68,36,главный научный сотрудник,150000
229,жен,85,67,главный научный сотрудник,130000
230,жен,68,20,главный научный сотрудник,60000
231,муж,66,43,старший научный сотрудник,70000
232,муж,83,63,младший научный сотрудник,50000
233,муж,38,4,научный сотрудник,20000
234,жен,40,14,ведущий научный сотрудник,70000
235,муж,68,30,главный научный сотрудник,140000
236,муж,53,65,главный научный сотрудник,100000
237,муж,32,20,младший научный сотрудник,140000
238,муж,48,1,стажёр-исследователь,190000
239,жен,87,68,главный научный сотрудник,100000
240,муж,83,40,научный сотрудник,140000
241,жен,66,52,стажёр-исследователь,170000
242,жен,36,5,научный сотрудник,50000
243,жен,40,49,научный сотрудник,100000
244,муж,39,55,ведущий научный сотрудник,170000
245,муж,49,66,ведущий научный сотрудник,120000
246,жен,43,40,стажёр-исследователь,30000
247,жен,84,60,научный сотрудник,70000
248,муж,82,60,старший научный сотрудник,20000
249,муж,31,56,стажёр-исследователь,40000
250,жен,29,41,главный научный сотрудник,100000
251,жен,26,42,ведущий научный сотрудник,50000
252,жен,51,36,ведущий научный сотрудник,190000
253,жен,73,26,старший научный сотрудник,60000
254,муж,68,61,старший научный сотрудник,140000
255,муж,85,54,главный научный сотрудник,90000
256,жен,56,3,главный научный сотрудник,40000
257,муж,68,0,младший научный сотрудник,40000
258,муж,51,27,главный научный сотрудник,190000
259,жен,48,25,ведущий научный сотрудник,180000
260,жен,48,46,стажёр-исследователь,120000
261,муж,52,39,ведущий научный сотрудник,120000
262,жен,27,30,стажёр-исследователь,190000
263,муж,60,55,старший научный сотрудник,40000
264,жен,90,68,главный научный сотрудник,30000
265,муж,49,9,ведущий научный сотрудник,140000
266,муж,88,1,стажёр-исследователь,60000
267,муж,83,20,ведущий научный сотрудник,180000
268,муж,75,60,главный научный сотрудник,160000
269,жен,58,22,научный сотрудник,60000
270,муж,44,45,главный научный сотрудник,50000
271,жен,53,59,ведущий научный сотрудник,90000
272,жен,45,1,ведущий научный сотрудник,80000
273,жен,40,43,младший научный сотрудник,40000
274,муж,33,68,ведущий научный сотрудник,190000
275,муж,63,53,научный сотрудник,120000
276,муж,43,54,стажёр-исследователь,50000
277,муж,70,19,научный сотрудник,120000
278,жен,76,32,стажёр-исследователь,30000
279,муж,78,34,ведущий научный сотрудник,180000
280,муж,23,22,младший научный сотрудник,150000
281,жен,83,66,научный сотрудник,60000
282,муж,29,39,научный сотрудник,140000
283,муж,77,5,старший научный сотрудник,120000
284,муж,35,24,главный научный сотрудник,170000
285,жен,52,60,ведущий научный сотрудник,130000
286,жен,35,65,стажёр-исследователь,40000
287,жен,45,38,старший научный сотрудник,130000
288,муж,73,19,старший научный сотрудник,120000
289,жен,66,59,младший научный сотрудник,50000
290,муж,78,28,главный научный сотрудник,110000
291,жен,77,6,старший научный сотрудник,70000
292,муж,55,4,младший научный сотрудник,180000
293,муж,28,21,стажёр-исследователь,190000
294,муж,58,62,стажёр-исследователь,30000
295,муж,39,58,старший научный сотрудник,100000
296,жен,37,38,научный сотрудник,160000
297,жен,51,5,ведущий научный сотрудник,100000
298,муж,57,16,старший научный сотрудник,20000
299,жен,35,2,ведущий научный сотрудник,80000
300,жен,82,59,старший научный сотрудник,140000
301,жен,87,37,младший научный сотрудник,110000
302,муж,57,35,младший научный сотрудник,70000
303,муж,76,41,научный сотрудник,190000
304,муж,84,15,главный научный сотрудник,160000
305,жен,31,11,главный научный сотрудник,110000
306,жен,63,54,старший научный сотрудник,30000
307,муж,89,8,главный научный сотрудник,30000
308,жен,21,55,старший научный сотрудник,70000
309,жен,25,21,стажёр-исследователь,70000
310,жен,61,13,старший научный сотрудник,100000
311,жен,29,63,старший научный сотрудник,80000
312,муж,62,22,младший научный сотрудник,90000
313,жен,57,26,стажёр-исследователь,50000
314,муж,75,33,младший научный сотрудник,30000
315,жен,58,5,стажёр-исследователь,130000
316,муж,23,46,младший научный сотрудник,50000
317,муж,41,67,старший научный сотрудник,50000
318,жен,76,3,младший научный сотрудник,130000
319,муж,81,63,ведущий научный сотрудник,190000
320,муж,47,15,стажёр-исследователь,40000
321,жен,41,29,младший научный сотрудник,100000
322,муж,89,17,ведущий научный сотрудник,150000
323,муж,25,39,старший научный сотрудник,30000
324,муж,73,61,старший научный сотрудник,150000
325,жен,36,48,старший научный сотрудник,90000
326,жен,27,46,научный сотрудник,130000
327,жен,48,22,младший научный сотрудник,50000
328,жен,23,21,главный научный сотрудник,180000
329,муж,51,16,младший научный сотрудник,30000
330,жен,41,25,научный сотрудник,160000
331,жен,57,22,младший научный сотрудник,30000
332,жен,87,32,научный сотрудник,90000
333,муж,78,29,главный научный сотрудник,130000
334,жен,61,29,старший научный сотрудник,160000
335,жен,62,11,стажёр-исследователь,110000
336,жен,64,27,стажёр-исследователь,110000
337,муж,56,37,младший научный сотрудник,190000
338,жен,89,17,стажёр-исследователь,160000
339,жен,40,11,стажёр-исследователь,20000
340,жен,24,11,ведущий научный сотрудник,50000
341,муж,42,47,младший научный сотрудник,90000
342,жен,61,18,младший научный сотрудник,40000
343,муж,33,31,ведущий научный сотрудник,180000
344,муж,28,9,главный научный сотрудник,80000
345,муж,75,54,младший научный сотрудник,70000
346,муж,25,1,главный научный сотрудник,100000
347,муж,36,66,главный научный сотрудник,100000
348,жен,82,1,научный сотрудник,110000
349,муж,35,33,главный научный сотрудник,180000
350,жен,29,15,ведущий научный сотрудник,140000
351,жен,83,23,научный сотрудник,140000
352,муж,65,12,главный научный сотрудник,40000
353,жен,62,17,младший научный сотрудник,150000
354,муж,37,7,научный сотрудник,20000
355,жен,30,1,ведущий научный сотрудник,100000
356,жен,26,41,главный научный сотрудник,100000
357,муж,84,43,ведущий научный сотрудник,90000
358,жен,77,60,стажёр-исследователь,170000
359,муж,43,24,главный научный сотрудник,20000
360,муж,57,9,старший научный сотрудник,110000
361,жен,73,16,главный научный сотрудник,70000
362,муж,88,54,младший научный сотрудник,180000
363,жен,48,70,стажёр-исследователь,70000
364,муж,90,17,ведущий научный сотрудник,160000
365,муж,23,2,старший научный сотрудник,120000
366,жен,51,25,научный сотрудник,110000
367,жен,72,46,главный научный сотрудник,30000
368,муж,88,23,старший научный сотрудник,40000
369,жен,29,63,старший научный сотрудник,80000
370,муж,51,41,научный сотрудник,120000
371,жен,25,68,стажёр-исследователь,110000
372,жен,26,17,старший научный сотрудник,80000
373,жен,61,59,младший научный сотрудник,30000
374,муж,30,37,стажёр-исследователь,60000
375,жен,71,47,главный научный сотрудник,180000
376,жен,74,14,младший научный сотрудник,90000
377,жен,21,51,младший научный сотрудник,180000
378,жен,29,63,старший научный сотрудник,130000
379,муж,52,68,главный научный сотрудник,70000
380,муж,88,70,главный научный сотрудник,110000
381,муж,39,58,стажёр-исследователь,60000
382,муж,67,15,младший научный сотрудник,140000
383,жен,31,40,научный сотрудник,150000
384,жен,41,38,старший научный сотрудник,80000
385,жен,36,34,научный сотрудник,70000
386,муж,33,39,младший научный сотрудник,140000
387,жен,50,37,младший научный сотрудник,140000
388,жен,29,25,младший научный сотрудник,60000
389,жен,41,65,главный научный сотрудник,100000
390,жен,21,9,старший научный сотрудник,20000
391,жен,25,31,главный научный сотрудник,50000
392,муж,34,52,научный сотрудник,40000
393,жен,86,35,младший научный сотрудник,160000
394,жен,49,7,младший научный сотрудник,160000
395,муж,81,14,стажёр-исследователь,80000
396,жен,29,31,младший научный сотрудник,160000
397,муж,41,61,младший научный сотрудник,90000
398,жен,85,43,главный научный сотрудник,180000
399,муж,55,20,младший научный сотрудник,180000
400,муж,26,17,стажёр-исследователь,100000
401,жен,56,30,старший научный сотрудник,170000
402,жен,35,56,научный сотрудник,130000
403,муж,24,31,ведущий научный сотрудник,20000
404,жен,22,29,старший научный сотрудник,80000
405,муж,39,43,стажёр-исследователь,190000
406,муж,86,22,научный сотрудник,60000
407,жен,44,4,стажёр-исследователь,60000
408,муж,44,66,ведущий научный сотрудник,160000
409,муж,85,9,научный сотрудник,130000
410,муж,55,37,старший научный сотрудник,180000
411,жен,43,14,старший научный сотрудник,150000
412,муж,69,4,научный сотрудник,80000
413,жен,46,45,научный сотрудник,50000
414,жен,42,31,научный сотрудник,170000
415,муж,32,22,младший научный сотрудник,20000
416,жен,81,56,младший научный сотрудник,110000
417,муж,45,39,старший научный сотрудник,110000
418,муж,76,14,ведущий научный сотрудник,170000
419,жен,77,10,научный сотрудник,170000
420,муж,67,11,стажёр-исследователь,190000
421,жен,37,28,младший научный сотрудник,160000
422,жен,78,68,главный научный сотрудник,180000
423,муж,71,18,младший научный сотрудник,190000
424,муж,24,9,стажёр-исследователь,90000
425,жен,29,3,научный сотрудник,150000
426,муж,43,25,старший научный сотрудник,30000
427,жен,35,42,научный сотрудник,180000
428,жен,63,61,главный научный сотрудник,130000
429,жен,75,3,старший научный сотрудник,190000
430,жен,29,68,ведущий научный сотрудник,150000
431,жен,42,32,научный сотрудник,120000
432,жен,28,46,старший научный сотрудник,90000
433,жен,70,34,младший научный сотрудник,140000
434,муж,36,66,главный научный сотрудник,170000
435,муж,88,24,ведущий научный сотрудник,100000
436,муж,84,11,старший научный сотрудник,80000
437,муж,38,55,старший научный сотрудник,70000
438,муж,85,53,научный сотрудник,30000
439,жен,67,6,младший научный сотрудник,60000
440,жен,85,1,главный научный сотрудник,150000
441,жен,67,42,стажёр-исследователь,50000
442,муж,81,62,ведущий научный сотрудник,120000
443,жен,57,21,стажёр-исследователь,170000
444,жен,76,21,научный сотрудник,60000
445,муж,46,21,научный сотрудник,130000
446,жен,28,3,главный научный сотрудник,160000
447,муж,24,50,научный сотрудник,120000
448,муж,48,49,старший научный сотрудник,80000
449,жен,77,35,ведущий научный сотрудник,30000
450,жен,31,26,главный научный сотрудник,50000
451,жен,46,51,ведущий научный сотрудник,180000
452,муж,51,34,стажёр-исследователь,160000
453,жен,86,55,младший научный сотрудник,150000
454,жен,59,52,младший научный сотрудник,100000
455,жен,56,58,главный научный сотрудник,80000
456,муж,21,19,научный сотрудник,120000
457,муж,31,43,научный сотрудник,160000
458,муж,80,64,ведущий научный сотрудник,50000
459,муж,66,25,ведущий научный сотрудник,120000
460,жен,26,44,стажёр-исследователь,80000
461,муж,22,29,младший научный сотрудник,110000
462,муж,72,16,старший научный сотрудник,140000
463,муж,51,24,стажёр-исследователь,160000
464,муж,69,9,стажёр-исследователь,20000
465,муж,46,10,младший научный сотрудник,100000
466,жен,77,26,младший научный сотрудник,60000
467,жен,85,25,ведущий научный сотрудник,30000
468,муж,78,5,научный сотрудник,100000
469,муж,88,44,ведущий научный сотрудник,170000
470,муж,26,13,стажёр-исследователь,50000
471,муж,73,24,научный сотрудник,100000
472,муж,55,17,научный сотрудник,30000
473,жен,44,34,главный научный сотрудник,110000
474,жен,50,10,стажёр-исследователь,190000
475,муж,58,22,стажёр-исследователь,150000
476,жен,73,5,научный сотрудник,190000
477,муж,47,41,старший научный сотрудник,40000
478,муж,81,47,ведущий научный сотрудник,150000
479,жен,49,38,старший научный сотрудник,50000
480,жен,35,21,главный научный сотрудник,100000
481,муж,46,14,младший научный сотрудник,50000
482,жен,84,9,младший научный сотрудник,120000
483,жен,86,5,младший научный сотрудник,80000
484,муж,48,15,старший научный сотрудник,140000
485,муж,78,27,научный сотрудник,50000
486,жен,44,13,ведущий научный сотрудник,140000
487,жен,81,5,стажёр-исследователь,140000
488,жен,76,12,главный научный сотрудник,140000
489,жен,42,51,старший научный сотрудник,180000
490,муж,35,12,главный научный сотрудник,20000
491,жен,74,70,научный сотрудник,30000
492,жен,79,70,младший научный сотрудник,30000
493,муж,81,24,младший научный сотрудник,100000
494,муж,33,68,главный научный сотрудник,170000
495,жен,79,53,научный сотрудник,20000
496,жен,49,56,ведущий научный сотрудник,190000
497,жен,85,32,главный научный сотрудник,80000
498,муж,21,3,старший научный сотрудник,40000
499,муж,66,48,главный научный сотрудник,160000
500,муж,37,4,главный научный сотрудник,150000
501,жен,54,52,главный научный сотрудник,80000
502,муж,60,66,главный научный сотрудник,110000
503,жен,84,20,научный сотрудник,100000
504,жен,69,31,главный научный сотрудник,90000
505,жен,78,23,старший научный сотрудник,30000
506,жен,83,52,младший научный сотрудник,90000
507,жен,62,65,старший научный сотрудник,100000
508,муж,75,46,младший научный сотрудник,160000
509,муж,64,52,ведущий научный сотрудник,170000
510,муж,37,61,младший научный сотрудник,190000
511,муж,76,41,младший научный сотрудник,110000
512,жен,89,38,младший научный сотрудник,30000
513,муж,24,11,научный сотрудник,80000
514,муж,83,48,младший научный сотрудник,120000
515,муж,75,30,старший научный сотрудник,120000
516,жен,63,51,старший научный сотрудник,90000
517,жен,70,60,младший научный сотрудник,70000
518,муж,81,9,стажёр-исследователь,180000
519,жен,36,45,ведущий научный сотрудник,150000
520,жен,51,65,научный сотрудник,190000
521,жен,37,54,ведущий научный сотрудник,20000
522,жен,86,30,стажёр-исследователь,150000
523,муж,62,57,младший научный сотрудник,110000
524,жен,32,37,стажёр-исследователь,120000
525,жен,52,13,главный научный сотрудник,20000
526,жен,72,47,старший научный сотрудник,90000
527,жен,28,14,старший научный сотрудник,120000
528,жен,51,64,главный научный сотрудник,160000
529,муж,44,12,научный сотрудник,110000
530,жен,64,60,старший научный сотрудник,130000
531,жен,28,27,главный научный сотрудник,80000
532,жен,27,8,главный научный сотрудник,50000
533,муж,38,33,главный научный сотрудник,40000
534,муж,31,53,старший научный сотрудник,100000
535,жен,32,9,ведущий научный сотрудник,170000
536,жен,84,19,главный научный сотрудник,110000
537,жен,32,45,младший научный сотрудник,70000
538,жен,27,3,научный сотрудник,140000
539,жен,80,18,ведущий научный сотрудник,160000
540,жен,39,30,научный сотрудник,50000
541,муж,78,35,главный научный сотрудник,50000
542,муж,53,42,стажёр-исследователь,30000
543,жен,90,59,стажёр-исследователь,20000
544,жен,29,66,старший научный сотрудник,140000
545,жен,47,48,стажёр-исследователь,140000
546,жен,40,30,старший научный сотрудник,40000
547,муж,74,62,главный научный сотрудник,100000
548,муж,28,62,стажёр-исследователь,120000
549,муж,67,35,ведущий научный сотрудник,110000
550,муж,79,13,главный научный сотрудник,140000
551,муж,38,14,стажёр-исследователь,170000
552,жен,56,26,главный научный сотрудник,180000
553,жен,40,28,ведущий научный сотрудник,170000
554,жен,58,2,старший научный сотрудник,80000
555,жен,47,23,научный сотрудник,50000
556,муж,53,12,ведущий научный сотрудник,80000
557,муж,34,55,стажёр-исследователь,90000
558,муж,26,65,главный научный сотрудник,180000
559,муж,26,41,стажёр-исследователь,60000
560,муж,54,57,старший научный сотрудник,110000
561,жен,59,22,младший научный сотрудник,190000
562,жен,26,38,старший научный сотрудник,70000
563,жен,81,50,главный научный сотрудник,150000
564,муж,87,46,младший научный сотрудник,80000
565,муж,85,57,научный сотрудник,30000
566,муж,63,28,стажёр-исследователь,30000
567,муж,37,9,младший научный сотрудник,170000
568,муж,89,50,младший научный сотрудник,50000
569,жен,66,23,ведущий научный сотрудник,60000
570,жен,52,42,научный сотрудник,80000
571,жен,24,34,главный научный сотрудник,80000
572,жен,27,56,старший научный сотрудник,170000
573,жен,21,41,младший научный сотрудник,120000
574,муж,35,41,главный научный сотрудник,150000
575,жен,88,8,научный сотрудник,130000
576,муж,32,51,стажёр-исследователь,40000
577,жен,69,7,стажёр-исследователь,120000
578,муж,72,14,стажёр-исследователь,90000
579,жен,24,16,ведущий научный сотрудник,120000
580,жен,22,12,старший научный сотрудник,40000
581,муж,80,47,ведущий научный сотрудник,130000
582,муж,34,31,старший научный сотрудник,90000
583,муж,63,40,научный сотрудник,170000
584,муж,58,39,младший научный сотрудник,170000
585,жен,24,21,старший научный сотрудник,30000
586,муж,23,41,главный научный сотрудник,100000
587,муж,39,53,научный сотрудник,20000
588,жен,87,27,научный сотрудник,170000
589,жен,27,67,научный сотрудник,190000
590,муж,86,62,стажёр-исследователь,130000
591,жен,47,8,старший научный сотрудник,80000
592,муж,56,6,научный сотрудник,170000
593,жен,77,59,старший научный сотрудник,150000
594,муж,45,48,главный научный сотрудник,130000
595,жен,68,55,старший научный сотрудник,30000
596,жен,60,15,младший научный сотрудник,120000
597,муж,87,40,ведущий научный сотрудник,170000
598,жен,47,24,младший научный сотрудник,170000
599,муж,78,4,научный сотрудник,170000
600,жен,24,34,стажёр-исследователь,60000
601,муж,51,15,ведущий научный сотрудник,100000
602,жен,39,31,ведущий научный сотрудник,90000
603,муж,82,42,стажёр-исследователь,20000
604,муж,38,0,младший научный сотрудник,170000
605,муж,76,13,главный научный сотрудник,180000
606,жен,43,58,ведущий научный сотрудник,90000
607,муж,57,67,главный научный сотрудник,100000
608,жен,81,19,научный сотрудник,50000
609,муж,33,46,стажёр-исследователь,30000
610,жен,86,50,ведущий научный сотрудник,20000
611,жен,52,47,стажёр-исследователь,170000
612,жен,21,30,старший научный сотрудник,20000
613,жен,40,32,стажёр-исследователь,70000
614,муж,50,20,стажёр-исследователь,70000
615,жен,32,22,ведущий научный сотрудник,70000
616,муж,78,13,младший научный сотрудник,30000
617,муж,58,53,младший научный сотрудник,60000
618,жен,34,3,стажёр-исследователь,170000
619,жен,79,18,научный сотрудник,190000
620,муж,39,11,стажёр-исследователь,100000
621,жен,41,40,старший научный сотрудник,160000
622,жен,86,63,стажёр-исследователь,80000
623,жен,45,39,старший научный сотрудник,80000
624,жен,51,65,младший научный сотрудник,120000
625,жен,30,59,научный сотрудник,40000
626,жен,23,29,научный сотрудник,50000
627,муж,46,26,научный сотрудник,100000
628,жен,68,67,научный сотрудник,120000
629,муж,90,22,главный научный сотрудник,120000
630,жен,69,54,старший научный сотрудник,90000
631,жен,72,50,младший научный сотрудник,190000
632,жен,78,7,стажёр-исследователь,70000
633,муж,72,1,главный научный сотрудник,70000
634,муж,36,9,главный научный сотрудник,90000
635,жен,42,11,главный научный сотрудник,30000
