ID_license,ID_company,Название,Оборудование
73,12,Cryptix,	Электронно-зондовый микроанализатор JXA-8230
74,15,GNU GPL,Исследовательская установка
75,14,CeCill,Гелиевый реконденсатор сверхпроводящего магнита
76,13,GNU GPL,Исследовательская установка
77,15,Freetype,Конфокальный КР микроскоп
78,1,GPLv3,Система для осаждения алмазных пленок
79,4,Cryptix,Конфокальный КР микроскоп
80,13,Boost,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
81,11,Berkeley,	Электронно-зондовый микроанализатор JXA-8230
82,15,GNU GPL,Система для осаждения алмазных пленок
83,2,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
84,1,Cryptix,Конфокальный КР микроскоп
85,9,BSD,Мессбауэровский спектрометр
86,2,eCos,Конфокальный КР микроскоп
87,17,CeCill,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
88,2,GPLv3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
89,14,Boost,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
90,11,iMatix,Система для измерения физических свойств PPMS-9
91,16,iMatix,Гелиевый реконденсатор сверхпроводящего магнита
92,2,GPLv3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
93,17,Boost,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
94,6,GNU GPL,Система для осаждения алмазных пленок
95,14,Cryptix,Исследовательская установка
96,4,Berkeley,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
97,1,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
98,15,BSD,Мессбауэровский спектрометр
99,5,CeCill,Гелиевый реконденсатор сверхпроводящего магнита
100,11,GNU GPL,	Электронно-зондовый микроанализатор JXA-8230
101,16,GNU GPL,	Электронно-зондовый микроанализатор JXA-8230
102,17,BSD,Конфокальный КР микроскоп
103,16,Berkeley,	Электронно-зондовый микроанализатор JXA-8230
104,1,GNU GPL,	Электронно-зондовый микроанализатор JXA-8230
105,18,Freetype,Конфокальный КР микроскоп
106,6,BSD,	Электронно-зондовый микроанализатор JXA-8230
107,2,BSD,Полуавтоматическая зондовая станция
108,1,BSD,Гелиевый реконденсатор сверхпроводящего магнита
109,17,Boost,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
110,18,Freetype,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
111,9,Cryptix,Гелиевый реконденсатор сверхпроводящего магнита
112,4,CeCill,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
113,17,Boost,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
114,7,BSD,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
115,14,eCos,Мессбауэровский спектрометр
116,16,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
117,12,Berkeley,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
118,17,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
119,15,CeCill,Полуавтоматическая зондовая станция
120,11,iMatix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
121,16,Cryptix,Гелиевый реконденсатор сверхпроводящего магнита
122,2,BSD,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
123,4,Boost,Исследовательская установка
124,17,Cryptix,Гелиевый реконденсатор сверхпроводящего магнита
125,2,eCos,Исследовательская установка
126,8,BSD,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
127,4,eCos,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
128,4,iMatix,Гелиевый реконденсатор сверхпроводящего магнита
129,8,eCos,Исследовательская установка
130,12,Boost,Мессбауэровский спектрометр
131,17,CeCill,Система для измерения физических свойств PPMS-9
132,9,eCos,Полуавтоматическая зондовая станция
133,6,GNU GPL,Полуавтоматическая зондовая станция
134,9,Cryptix,Исследовательская установка
135,7,GNU GPL,Система для измерения физических свойств PPMS-9
136,7,iMatix,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
137,6,BSD,Гелиевый реконденсатор сверхпроводящего магнита
138,11,eCos,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
139,15,Berkeley,	Электронно-зондовый микроанализатор JXA-8230
140,4,CeCill,Конфокальный КР микроскоп
141,5,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
142,10,CeCill,	Электронно-зондовый микроанализатор JXA-8230
143,11,Berkeley,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
144,11,GNU GPL,Конфокальный КР микроскоп
145,11,eCos,Полуавтоматическая зондовая станция
146,1,BSD,Мессбауэровский спектрометр
147,9,GPLv3,Система для измерения физических свойств PPMS-9
148,4,GPLv3,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
149,6,BSD,Система для измерения физических свойств PPMS-9
150,6,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
151,18,CeCill,Гелиевый реконденсатор сверхпроводящего магнита
152,13,Cryptix,	Электронно-зондовый микроанализатор JXA-8230
153,16,Boost,Полуавтоматическая зондовая станция
154,18,Freetype,Конфокальный КР микроскоп
155,6,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
156,15,Boost,Мессбауэровский спектрометр
157,11,Cryptix,Мессбауэровский спектрометр
158,11,GPLv3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
159,4,GNU GPL,Мессбауэровский спектрометр
160,16,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
161,11,GNU GPL,	Электронно-зондовый микроанализатор JXA-8230
162,13,Cryptix,Конфокальный КР микроскоп
163,1,BSD,	Электронно-зондовый микроанализатор JXA-8230
164,9,iMatix,Исследовательская установка
165,7,Freetype,Система для осаждения алмазных пленок
166,13,Freetype,Система для осаждения алмазных пленок
167,1,GNU GPL,Система для измерения физических свойств PPMS-9
168,11,iMatix,Система для измерения физических свойств PPMS-9
169,1,Boost,Конфокальный КР микроскоп
170,4,Cryptix,Полуавтоматическая зондовая станция
171,8,eCos,	Электронно-зондовый микроанализатор JXA-8230
172,4,iMatix,Система для осаждения алмазных пленок
173,14,iMatix,Конфокальный КР микроскоп
174,4,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
175,10,Berkeley,Исследовательская установка
176,10,Boost,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
177,2,Berkeley,Полуавтоматическая зондовая станция
178,8,Freetype,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
179,2,eCos,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
180,16,Freetype,Система для осаждения алмазных пленок
181,18,Freetype,Гелиевый реконденсатор сверхпроводящего магнита
182,17,Cryptix,Мессбауэровский спектрометр
183,16,BSD,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
184,15,BSD,Конфокальный КР микроскоп
185,1,eCos,Исследовательская установка
186,9,BSD,Мессбауэровский спектрометр
187,2,BSD,Исследовательская установка
188,9,BSD,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
189,3,Boost,Мессбауэровский спектрометр
190,18,GNU GPL,Гелиевый реконденсатор сверхпроводящего магнита
191,2,GNU GPL,Исследовательская установка
192,8,Boost,Исследовательская установка
193,6,Cryptix,Мессбауэровский спектрометр
194,7,BSD,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
195,10,CeCill,Полуавтоматическая зондовая станция
196,16,iMatix,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
197,1,Freetype,Гелиевый реконденсатор сверхпроводящего магнита
198,15,Cryptix,Полуавтоматическая зондовая станция
199,3,BSD,Гелиевый реконденсатор сверхпроводящего магнита
200,7,Boost,Конфокальный КР микроскоп
201,3,iMatix,Гелиевый реконденсатор сверхпроводящего магнита
202,5,Cryptix,Конфокальный КР микроскоп
203,17,eCos,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
204,12,Berkeley,Полуавтоматическая зондовая станция
205,16,GNU GPL,	Электронно-зондовый микроанализатор JXA-8230
206,5,eCos,Мессбауэровский спектрометр
207,18,Freetype,Система для осаждения алмазных пленок
208,18,Cryptix,Мессбауэровский спектрометр
209,3,BSD,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
210,4,GNU GPL,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
211,5,Berkeley,	Электронно-зондовый микроанализатор JXA-8230
212,12,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
213,12,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
214,8,GPLv3,Полуавтоматическая зондовая станция
215,8,Berkeley,	Электронно-зондовый микроанализатор JXA-8230
216,16,Berkeley,Исследовательская установка
217,10,GPLv3,Система для измерения физических свойств PPMS-9
218,14,Cryptix,Гелиевый реконденсатор сверхпроводящего магнита
219,16,BSD,Система для осаждения алмазных пленок
220,4,Berkeley,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
221,3,GNU GPL,Полуавтоматическая зондовая станция
222,14,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
223,3,Cryptix,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
224,14,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
225,11,CeCill,Конфокальный КР микроскоп
226,16,iMatix,Мессбауэровский спектрометр
227,9,CeCill,	Электронно-зондовый микроанализатор JXA-8230
228,18,Cryptix,Мессбауэровский спектрометр
229,14,GNU GPL,Система для осаждения алмазных пленок
230,6,Freetype,	Электронно-зондовый микроанализатор JXA-8230
231,16,GNU GPL,Система для осаждения алмазных пленок
232,1,Cryptix,Полуавтоматическая зондовая станция
233,8,iMatix,	Электронно-зондовый микроанализатор JXA-8230
234,13,iMatix,Гелиевый реконденсатор сверхпроводящего магнита
235,1,Cryptix,Мессбауэровский спектрометр
236,7,GPLv3,Исследовательская установка
237,14,Freetype,Система для осаждения алмазных пленок
238,10,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
239,9,Berkeley,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
240,15,Berkeley,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
241,16,BSD,Конфокальный КР микроскоп
242,16,iMatix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
243,3,GPLv3,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
244,15,BSD,Мессбауэровский спектрометр
245,17,Freetype,Полуавтоматическая зондовая станция
246,7,iMatix,Система для осаждения алмазных пленок
247,3,GPLv3,Конфокальный КР микроскоп
248,2,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
249,4,Freetype,Система для измерения физических свойств PPMS-9
250,2,Freetype,Конфокальный КР микроскоп
251,7,BSD,Система для измерения физических свойств PPMS-9
252,11,iMatix,Конфокальный КР микроскоп
253,5,eCos,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
254,5,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
255,12,eCos,Исследовательская установка
256,15,GPLv3,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
257,8,Cryptix,Исследовательская установка
258,18,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
259,9,Cryptix,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
260,10,eCos,Исследовательская установка
261,14,GPLv3,Конфокальный КР микроскоп
262,5,iMatix,Полуавтоматическая зондовая станция
263,13,CeCill,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
264,16,Berkeley,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
265,1,GNU GPL,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
266,14,Berkeley,Конфокальный КР микроскоп
267,6,GNU GPL,Полуавтоматическая зондовая станция
268,6,GPLv3,Мессбауэровский спектрометр
269,8,Boost,Система для осаждения алмазных пленок
270,5,Freetype,Полуавтоматическая зондовая станция
271,5,GPLv3,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
272,4,GPLv3,Гелиевый реконденсатор сверхпроводящего магнита
273,8,Berkeley,	Электронно-зондовый микроанализатор JXA-8230
274,4,Boost,Мессбауэровский спектрометр
275,12,GNU GPL,Конфокальный КР микроскоп
276,9,GPLv3,Система для измерения физических свойств PPMS-9
277,14,GPLv3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
278,10,BSD,Система для измерения физических свойств PPMS-9
279,6,GNU GPL,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
280,5,GNU GPL,Мессбауэровский спектрометр
281,16,eCos,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
282,3,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
283,10,GNU GPL,Система для осаждения алмазных пленок
284,16,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
285,2,iMatix,Исследовательская установка
286,2,GNU GPL,Гелиевый реконденсатор сверхпроводящего магнита
287,1,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
288,13,BSD,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
289,15,Boost,	Электронно-зондовый микроанализатор JXA-8230
290,11,BSD,Конфокальный КР микроскоп
291,17,GPLv3,Полуавтоматическая зондовая станция
292,17,Freetype,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
293,17,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
294,10,Boost,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
295,1,Berkeley,Система для измерения физических свойств PPMS-9
296,15,Berkeley,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
297,7,Boost,	Электронно-зондовый микроанализатор JXA-8230
298,3,GPLv3,Мессбауэровский спектрометр
299,1,CeCill,Полуавтоматическая зондовая станция
300,2,Berkeley,Мессбауэровский спектрометр
301,7,CeCill,	Электронно-зондовый микроанализатор JXA-8230
302,13,eCos,Система для измерения физических свойств PPMS-9
303,8,GPLv3,Конфокальный КР микроскоп
304,12,CeCill,Мессбауэровский спектрометр
305,11,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
306,8,GPLv3,Конфокальный КР микроскоп
307,1,eCos,Исследовательская установка
308,10,GPLv3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
309,17,Boost,Гелиевый реконденсатор сверхпроводящего магнита
310,6,BSD,Мессбауэровский спектрометр
311,10,CeCill,Мессбауэровский спектрометр
312,11,Berkeley,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
313,16,CeCill,Система для осаждения алмазных пленок
314,7,Boost,Конфокальный КР микроскоп
315,1,GNU GPL,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
316,9,Freetype,Гелиевый реконденсатор сверхпроводящего магнита
317,14,iMatix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
318,10,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
319,14,Berkeley,Система для осаждения алмазных пленок
320,13,Berkeley,Система для измерения физических свойств PPMS-9
321,13,GNU GPL,Конфокальный КР микроскоп
322,10,GPLv3,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
323,5,GNU GPL,Система для измерения физических свойств PPMS-9
324,1,iMatix,Полуавтоматическая зондовая станция
325,6,GPLv3,Исследовательская установка
326,14,Cryptix,Гелиевый реконденсатор сверхпроводящего магнита
327,13,eCos,Полуавтоматическая зондовая станция
328,5,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
329,2,iMatix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
330,7,Freetype,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
331,11,GPLv3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
332,12,BSD,Полуавтоматическая зондовая станция
333,9,Boost,Полуавтоматическая зондовая станция
334,8,iMatix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
335,10,BSD,Конфокальный КР микроскоп
336,3,eCos,Исследовательская установка
337,7,Freetype,Мессбауэровский спектрометр
338,11,Berkeley,Конфокальный КР микроскоп
339,8,Berkeley,Исследовательская установка
340,7,BSD,Исследовательская установка
341,12,Boost,	Электронно-зондовый микроанализатор JXA-8230
342,5,Freetype,Мессбауэровский спектрометр
343,3,Freetype,Система для измерения физических свойств PPMS-9
344,1,iMatix,	Электронно-зондовый микроанализатор JXA-8230
345,6,iMatix,Конфокальный КР микроскоп
346,9,Boost,Исследовательская установка
347,6,Freetype,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
348,10,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
349,14,CeCill,Система для осаждения алмазных пленок
350,4,GNU GPL,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
351,13,Berkeley,Система для измерения физических свойств PPMS-9
352,11,BSD,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
353,7,GNU GPL,Конфокальный КР микроскоп
354,9,Freetype,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
355,2,iMatix,Исследовательская установка
356,5,BSD,Конфокальный КР микроскоп
357,18,GPLv3,Система для измерения физических свойств PPMS-9
358,16,Boost,	Электронно-зондовый микроанализатор JXA-8230
359,8,Berkeley,Полуавтоматическая зондовая станция
360,3,Boost,Гелиевый реконденсатор сверхпроводящего магнита
361,6,Cryptix,Исследовательская установка
362,14,eCos,Полуавтоматическая зондовая станция
363,10,CeCill,Мессбауэровский спектрометр
364,17,CeCill,Гелиевый реконденсатор сверхпроводящего магнита
365,15,iMatix,Система для осаждения алмазных пленок
366,4,eCos,Система для осаждения алмазных пленок
367,14,iMatix,Конфокальный КР микроскоп
368,13,BSD,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
369,7,GNU GPL,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
370,16,Freetype,Исследовательская установка
371,13,Berkeley,Система для измерения физических свойств PPMS-9
372,8,eCos,Конфокальный КР микроскоп
373,6,Cryptix,Исследовательская установка
374,2,CeCill,Система для осаждения алмазных пленок
375,2,Berkeley,Система для осаждения алмазных пленок
376,18,BSD,Конфокальный КР микроскоп
377,18,Boost,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
378,16,eCos,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
379,10,CeCill,Конфокальный КР микроскоп
380,6,eCos,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
381,9,Boost,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
382,1,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
383,5,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
384,1,Boost,Исследовательская установка
385,16,Boost,Гелиевый реконденсатор сверхпроводящего магнита
386,14,CeCill,Гелиевый реконденсатор сверхпроводящего магнита
387,9,Freetype,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
388,8,CeCill,Мессбауэровский спектрометр
389,13,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
390,6,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
391,6,Cryptix,Система для осаждения алмазных пленок
392,10,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
393,3,eCos,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
394,2,Boost,Конфокальный КР микроскоп
395,14,Cryptix,Мессбауэровский спектрометр
396,8,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
397,18,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
398,1,Berkeley,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
399,14,CeCill,Система для осаждения алмазных пленок
400,10,Cryptix,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
401,12,iMatix,Система для измерения физических свойств PPMS-9
402,10,GNU GPL,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
403,7,GPLv3,Конфокальный КР микроскоп
404,14,Freetype,Гелиевый реконденсатор сверхпроводящего магнита
405,15,Freetype,Исследовательская установка
406,3,Freetype,Мессбауэровский спектрометр
407,6,iMatix,Система для осаждения алмазных пленок
408,5,Freetype,Полуавтоматическая зондовая станция
409,7,Cryptix,Система для измерения физических свойств PPMS-9
410,6,CeCill,Гелиевый реконденсатор сверхпроводящего магнита
411,17,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
412,3,BSD,Система для осаждения алмазных пленок
413,12,eCos,Система для измерения физических свойств PPMS-9
414,3,Berkeley,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
415,7,Cryptix,Конфокальный КР микроскоп
416,13,iMatix,	Электронно-зондовый микроанализатор JXA-8230
417,3,GPLv3,Гелиевый реконденсатор сверхпроводящего магнита
418,13,BSD,Полуавтоматическая зондовая станция
419,4,CeCill,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
420,14,iMatix,	Электронно-зондовый микроанализатор JXA-8230
421,14,Freetype,Система для осаждения алмазных пленок
422,16,Freetype,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
423,17,eCos,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
424,16,GPLv3,Мессбауэровский спектрометр
425,13,Cryptix,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
426,18,BSD,	Электронно-зондовый микроанализатор JXA-8230
427,8,BSD,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
428,12,Freetype,Мессбауэровский спектрометр
429,12,Freetype,Система для измерения физических свойств PPMS-9
430,10,GPLv3,Мессбауэровский спектрометр
431,17,GNU GPL,Система для измерения физических свойств PPMS-9
432,12,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
433,12,eCos,Гелиевый реконденсатор сверхпроводящего магнита
434,15,Freetype,Конфокальный КР микроскоп
435,13,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
436,12,eCos,Мессбауэровский спектрометр
437,6,Cryptix,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
438,16,GNU GPL,Система для осаждения алмазных пленок
439,16,BSD,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
440,9,eCos,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
441,16,GPLv3,Система для осаждения алмазных пленок
442,4,eCos,Конфокальный КР микроскоп
443,6,BSD,Полуавтоматическая зондовая станция
444,15,GNU GPL,Конфокальный КР микроскоп
445,1,eCos,Конфокальный КР микроскоп
446,6,Berkeley,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
447,11,Freetype,Мессбауэровский спектрометр
448,5,GNU GPL,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
449,9,iMatix,Система для измерения физических свойств PPMS-9
450,6,eCos,	Электронно-зондовый микроанализатор JXA-8230
451,18,Berkeley,Система для осаждения алмазных пленок
452,7,Boost,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
453,10,eCos,Полуавтоматическая зондовая станция
454,8,BSD,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
455,9,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
456,13,BSD,Исследовательская установка
457,6,Boost,Мессбауэровский спектрометр
458,18,GPLv3,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
459,7,GPLv3,Конфокальный КР микроскоп
460,1,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
461,4,BSD,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
462,1,Berkeley,Мессбауэровский спектрометр
463,5,GPLv3,	Электронно-зондовый микроанализатор JXA-8230
464,12,Berkeley,Исследовательская установка
465,13,Boost,Система для измерения физических свойств PPMS-9
466,4,Freetype,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
467,17,GPLv3,Полуавтоматическая зондовая станция
468,3,GPLv3,Исследовательская установка
469,10,Boost,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
470,15,iMatix,Исследовательская установка
471,11,Cryptix,Исследовательская установка
