ID_equip,ID_supplier,Название,Назначение,Исправно
36,14,Мессбауэровский спектрометр,Структурный анализ,1
37,10,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
38,12,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
39,15,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
40,10,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
41,14,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
42,10,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
43,4,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
44,7,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
45,15,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
46,13,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
47,6,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
48,5,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
49,5,Мессбауэровский спектрометр,Структурный анализ,0
50,6,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
51,12,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
52,3,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
53,1,Конфокальный КР микроскоп,Структурный анализ,0
54,10,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
55,19,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
56,1,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
57,19,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
58,3,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
59,2,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
60,9,Конфокальный КР микроскоп,Структурный анализ,0
61,14,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
62,7,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
63,7,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
64,9,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
65,4,Мессбауэровский спектрометр,Структурный анализ,0
66,4,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
67,2,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
68,12,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
69,11,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
70,11,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
71,17,Конфокальный КР микроскоп,Структурный анализ,1
72,16,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
73,18,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
74,7,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
75,9,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
76,16,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
77,20,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
78,20,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
79,9,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
80,13,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
81,2,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
82,13,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
83,5,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
84,13,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
85,15,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
86,3,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
87,1,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
88,17,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
89,18,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
90,7,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
91,3,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
92,7,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
93,15,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
94,6,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
95,8,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
96,15,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
97,9,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
98,13,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
99,8,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
100,10,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
101,4,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
102,19,Мессбауэровский спектрометр,Структурный анализ,0
103,9,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
104,19,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
105,16,Конфокальный КР микроскоп,Структурный анализ,1
106,7,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
107,14,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
108,12,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
109,17,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
110,8,Мессбауэровский спектрометр,Структурный анализ,0
111,2,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
112,4,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
113,5,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
114,8,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
115,4,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
116,9,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
117,18,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
118,17,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
119,19,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
120,7,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
121,16,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
122,11,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
123,5,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
124,19,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
125,2,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
126,8,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
127,9,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
128,2,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
129,17,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
130,12,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
131,2,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
132,17,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
133,16,Конфокальный КР микроскоп,Структурный анализ,1
134,12,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
135,11,Конфокальный КР микроскоп,Структурный анализ,0
136,15,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
137,19,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
138,3,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
139,2,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
140,20,Конфокальный КР микроскоп,Структурный анализ,0
141,13,Мессбауэровский спектрометр,Структурный анализ,1
142,2,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
143,11,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
144,9,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
145,2,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
146,17,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
147,8,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
148,14,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
149,17,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
150,5,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
151,20,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
152,11,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
153,10,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
154,11,Конфокальный КР микроскоп,Структурный анализ,0
155,4,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
156,3,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
157,5,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
158,17,Мессбауэровский спектрометр,Структурный анализ,1
159,14,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
160,12,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
161,11,Мессбауэровский спектрометр,Структурный анализ,0
162,6,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
163,1,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
164,9,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
165,5,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
166,14,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
167,8,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
168,8,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
169,4,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
170,2,Конфокальный КР микроскоп,Структурный анализ,0
171,2,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
172,18,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
173,3,Мессбауэровский спектрометр,Структурный анализ,1
174,19,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
175,1,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
176,4,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
177,15,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
178,7,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
179,7,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
180,16,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
181,10,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
182,12,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
183,4,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
184,18,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
185,11,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
186,14,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
187,12,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
188,7,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
189,7,Мессбауэровский спектрометр,Структурный анализ,1
190,9,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
191,2,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
192,9,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
193,3,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
194,11,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
195,12,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
196,15,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
197,2,Конфокальный КР микроскоп,Структурный анализ,1
198,16,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
199,11,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
200,11,Конфокальный КР микроскоп,Структурный анализ,1
201,19,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
202,12,Мессбауэровский спектрометр,Структурный анализ,1
203,16,Мессбауэровский спектрометр,Структурный анализ,1
204,15,Мессбауэровский спектрометр,Структурный анализ,0
205,16,Конфокальный КР микроскоп,Структурный анализ,1
206,20,Мессбауэровский спектрометр,Структурный анализ,0
207,10,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
208,10,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
209,18,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
210,14,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
211,11,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
212,1,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
213,18,Мессбауэровский спектрометр,Структурный анализ,1
214,2,Конфокальный КР микроскоп,Структурный анализ,1
215,7,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
216,5,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
217,6,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
218,7,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
219,8,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
220,13,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
221,8,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
222,9,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
223,3,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
224,17,Мессбауэровский спектрометр,Структурный анализ,0
225,16,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
226,8,Мессбауэровский спектрометр,Структурный анализ,1
227,14,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
228,3,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
229,9,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
230,10,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
231,5,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
232,3,Конфокальный КР микроскоп,Структурный анализ,0
233,3,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
234,19,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
235,19,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
236,19,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
237,3,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
238,16,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
239,5,Конфокальный КР микроскоп,Структурный анализ,0
240,20,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
241,18,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
242,18,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
243,19,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
244,20,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
245,18,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
246,5,Мессбауэровский спектрометр,Структурный анализ,1
247,4,Мессбауэровский спектрометр,Структурный анализ,1
248,7,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
249,17,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
250,19,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
251,8,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
252,12,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
253,8,Мессбауэровский спектрометр,Структурный анализ,1
254,2,Мессбауэровский спектрометр,Структурный анализ,1
255,6,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
256,18,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
257,16,Конфокальный КР микроскоп,Структурный анализ,1
258,5,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
259,12,Мессбауэровский спектрометр,Структурный анализ,0
260,11,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
261,20,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
262,18,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
263,12,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
264,9,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
265,14,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
266,3,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
267,9,Конфокальный КР микроскоп,Структурный анализ,1
268,9,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
269,2,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
270,16,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
271,11,Мессбауэровский спектрометр,Структурный анализ,0
272,10,Конфокальный КР микроскоп,Структурный анализ,1
273,8,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
274,9,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
275,7,Мессбауэровский спектрометр,Структурный анализ,0
276,10,Конфокальный КР микроскоп,Структурный анализ,0
277,19,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
278,11,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
279,13,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
280,13,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
281,11,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
282,3,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
283,13,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
284,10,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
285,20,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
286,15,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
287,4,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
288,3,Мессбауэровский спектрометр,Структурный анализ,0
289,5,Конфокальный КР микроскоп,Структурный анализ,1
290,9,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
291,7,Мессбауэровский спектрометр,Структурный анализ,0
292,17,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
293,16,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
294,18,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
295,13,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
296,9,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
297,2,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
298,9,Конфокальный КР микроскоп,Структурный анализ,0
299,10,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
300,5,Конфокальный КР микроскоп,Структурный анализ,1
301,5,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
302,13,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
303,6,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
304,15,Мессбауэровский спектрометр,Структурный анализ,1
305,12,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
306,19,Конфокальный КР микроскоп,Структурный анализ,1
307,13,Мессбауэровский спектрометр,Структурный анализ,1
308,14,Конфокальный КР микроскоп,Структурный анализ,0
309,4,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
310,14,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
311,15,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
312,5,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
313,12,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
314,9,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
315,6,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
316,20,Конфокальный КР микроскоп,Структурный анализ,0
317,16,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
318,16,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
319,3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
320,3,Мессбауэровский спектрометр,Структурный анализ,1
321,17,Мессбауэровский спектрометр,Структурный анализ,1
322,9,Мессбауэровский спектрометр,Структурный анализ,1
323,14,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
324,19,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
325,13,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
326,14,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
327,14,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
328,3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
329,3,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
330,17,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
331,14,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
332,3,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
333,7,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
334,20,Конфокальный КР микроскоп,Структурный анализ,0
335,3,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
336,19,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
337,4,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
338,4,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
